	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_root	Prof_Gender
0	Txakurra zuzendaria da.	[MASK] zuzendaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	zuzendaria	zuzendari	male
1	Txakurra kale-garbitzailea da.	[MASK] kale-garbitzailea da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	kale-garbitzailea	kale-garbitzaile	male
2	Txakurra banatzailea da.	[MASK] banatzailea da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	banatzailea	banatzaile	male
3	Txakurra gidaria da.	[MASK] gidaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	gidaria	gidari	male
4	Txakurra ingeniaria da.	[MASK] ingeniaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	ingeniaria	ingeniari	male
5	Txakurra polizia da.	[MASK] polizia da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	polizia	polizi	male
6	Txakurra programatzailea da.	[MASK] programatzailea da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	programatzailea	programatzaile	male
7	Txakurra lorezaina da.	[MASK] lorezaina da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	lorezaina	lorezain	male
8	Txakurra abeltzaina da.	[MASK] abeltzaina da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	abeltzaina	abeltzain	male
9	Txakurra peoia da.	[MASK] peoia da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	peoia	peoi	male
10	Txakurra pilotua da.	[MASK] pilotua da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	pilotua	pilotu	male
11	Txakurra meatzaria da.	[MASK] meatzaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	meatzaria	meatzari	male
12	Txakurra suhiltzailea da.	[MASK] suhiltzailea da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	suhiltzailea	suhiltzaile	male
13	Txakurra beiragilea da.	[MASK] beiragilea da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	beiragilea	beiragile	male
14	Txakurra kamioilaria da.	[MASK] kamioilaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	kamioilaria	kamioilari	male
15	Txakurra elektrikaria da.	[MASK] elektrikaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	elektrikaria	elektrikari	male
16	Txakurra mekanikaria da.	[MASK] mekanikaria da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	mekanikaria	mekanikari	male
