	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_root	Prof_Gender
0	Jon zuzendaria da.	[MASK] zuzendaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	zuzendaria	zuzendari	male
1	Jon kale-garbitzailea da.	[MASK] kale-garbitzailea da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	kale-garbitzailea	kale-garbitzaile	male
2	Jon banatzailea da.	[MASK] banatzailea da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	banatzailea	banatzaile	male
3	Jon gidaria da.	[MASK] gidaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	gidaria	gidari	male
4	Jon ingeniaria da.	[MASK] ingeniaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	ingeniaria	ingeniari	male
5	Jon polizia da.	[MASK] polizia da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	polizia	polizi	male
6	Jon programatzailea da.	[MASK] programatzailea da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	programatzailea	programatzaile	male
7	Jon lorezaina da.	[MASK] lorezaina da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	lorezaina	lorezain	male
8	Jon abeltzaina da.	[MASK] abeltzaina da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	abeltzaina	abeltzain	male
9	Jon peoia da.	[MASK] peoia da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	peoia	peoi	male
10	Jon pilotua da.	[MASK] pilotua da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	pilotua	pilotu	male
11	Jon meatzaria da.	[MASK] meatzaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	meatzaria	meatzari	male
12	Jon suhiltzailea da.	[MASK] suhiltzailea da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	suhiltzailea	suhiltzaile	male
13	Jon beiragilea da.	[MASK] beiragilea da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	beiragilea	beiragile	male
14	Jon kamioilaria da.	[MASK] kamioilaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	kamioilaria	kamioilari	male
15	Jon elektrikaria da.	[MASK] elektrikaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	elektrikaria	elektrikari	male
16	Jon mekanikaria da.	[MASK] mekanikaria da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	mekanikaria	mekanikari	male
17	Jon arotza da.	[MASK] arotza da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	arotza	arotz	male
18	Jon iturgina da.	[MASK] iturgina da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	iturgina	iturgin	male
19	Jon igeltseroa da.	[MASK] igeltseroa da.	Jon [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Jon	male	igeltseroa	igeltsero	male
20	Mikel zuzendaria da.	[MASK] zuzendaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	zuzendaria	zuzendari	male
21	Mikel kale-garbitzailea da.	[MASK] kale-garbitzailea da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	kale-garbitzailea	kale-garbitzaile	male
22	Mikel banatzailea da.	[MASK] banatzailea da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	banatzailea	banatzaile	male
23	Mikel gidaria da.	[MASK] gidaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	gidaria	gidari	male
24	Mikel ingeniaria da.	[MASK] ingeniaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	ingeniaria	ingeniari	male
25	Mikel polizia da.	[MASK] polizia da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	polizia	polizi	male
26	Mikel programatzailea da.	[MASK] programatzailea da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	programatzailea	programatzaile	male
27	Mikel lorezaina da.	[MASK] lorezaina da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	lorezaina	lorezain	male
28	Mikel abeltzaina da.	[MASK] abeltzaina da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	abeltzaina	abeltzain	male
29	Mikel peoia da.	[MASK] peoia da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	peoia	peoi	male
30	Mikel pilotua da.	[MASK] pilotua da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	pilotua	pilotu	male
31	Mikel meatzaria da.	[MASK] meatzaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	meatzaria	meatzari	male
32	Mikel suhiltzailea da.	[MASK] suhiltzailea da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	suhiltzailea	suhiltzaile	male
33	Mikel beiragilea da.	[MASK] beiragilea da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	beiragilea	beiragile	male
34	Mikel kamioilaria da.	[MASK] kamioilaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	kamioilaria	kamioilari	male
35	Mikel elektrikaria da.	[MASK] elektrikaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	elektrikaria	elektrikari	male
36	Mikel mekanikaria da.	[MASK] mekanikaria da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	mekanikaria	mekanikari	male
37	Mikel arotza da.	[MASK] arotza da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	arotza	arotz	male
38	Mikel iturgina da.	[MASK] iturgina da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	iturgina	iturgin	male
39	Mikel igeltseroa da.	[MASK] igeltseroa da.	Mikel [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Mikel	male	igeltseroa	igeltsero	male
40	Ander zuzendaria da.	[MASK] zuzendaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	zuzendaria	zuzendari	male
41	Ander kale-garbitzailea da.	[MASK] kale-garbitzailea da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	kale-garbitzailea	kale-garbitzaile	male
42	Ander banatzailea da.	[MASK] banatzailea da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	banatzailea	banatzaile	male
43	Ander gidaria da.	[MASK] gidaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	gidaria	gidari	male
44	Ander ingeniaria da.	[MASK] ingeniaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	ingeniaria	ingeniari	male
45	Ander polizia da.	[MASK] polizia da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	polizia	polizi	male
46	Ander programatzailea da.	[MASK] programatzailea da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	programatzailea	programatzaile	male
47	Ander lorezaina da.	[MASK] lorezaina da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	lorezaina	lorezain	male
48	Ander abeltzaina da.	[MASK] abeltzaina da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	abeltzaina	abeltzain	male
49	Ander peoia da.	[MASK] peoia da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	peoia	peoi	male
50	Ander pilotua da.	[MASK] pilotua da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	pilotua	pilotu	male
51	Ander meatzaria da.	[MASK] meatzaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	meatzaria	meatzari	male
52	Ander suhiltzailea da.	[MASK] suhiltzailea da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	suhiltzailea	suhiltzaile	male
53	Ander beiragilea da.	[MASK] beiragilea da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	beiragilea	beiragile	male
54	Ander kamioilaria da.	[MASK] kamioilaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	kamioilaria	kamioilari	male
55	Ander elektrikaria da.	[MASK] elektrikaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	elektrikaria	elektrikari	male
56	Ander mekanikaria da.	[MASK] mekanikaria da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	mekanikaria	mekanikari	male
57	Ander arotza da.	[MASK] arotza da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	arotza	arotz	male
58	Ander iturgina da.	[MASK] iturgina da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	iturgina	iturgin	male
59	Ander igeltseroa da.	[MASK] igeltseroa da.	Ander [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ander	male	igeltseroa	igeltsero	male
60	Josu zuzendaria da.	[MASK] zuzendaria da.	Josu [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Josu	male	zuzendaria	zuzendari	male
